#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,Label
861,The Signal Fire (feat. Howard Jones),Killswitch Engage,8/16/2019,104,98,49,-4,19,3:05,0,59,2675,0
862,Nero Forte,Slipknot,8/9/2019,130,98,34,-2,50,5:15,0,73,4108,0
863,Save Me,Skillet,6/14/2019,96,89,56,-4,45,3:43,0,24,7756,0
864,Poverty of Self,Currents,11/29/2019,115,95,49,-6,15,3:26,0,50,4721,0
865,Do or Die,Machine Head,10/11/2019,108,98,47,-5,29,3:42,0,56,3287,0
866,Oh My God,HELLYEAH,6/28/2019,159,98,32,-3,35,4:13,0,55,8385,0
867,Love Me to Death,Suicide Silence,11/15/2019,137,99,33,-5,11,4:15,0,51,9162,0
868,On the Top,Jinjer,10/11/2019,82,96,21,-5,18,5:28,0,48,8335,0
869,My Own Grave,As I Lay Dying,8/9/2019,125,99,48,-5,4,4:13,0,52,5828,0
870,Carry the Weight,We Came As Romans,9/27/2019,127,95,48,-4,31,3:49,0,51,6899,0
871,I Sever,Sylosis,12/6/2019,198,94,45,-5,12,5:08,0,49,91,0
872,Reckless,Lacuna Coil,9/13/2019,158,89,40,-3,31,3:05,0,55,5705,0
873,Cold,Korn,8/2/2019,101,92,41,-3,34,3:46,0,35,8622,0
874,Bring Back the Plague,Cattle Decapitation,10/3/2019,117,99,24,-4,18,4:28,0,51,7348,0
875,Burn,Lionheart,10/4/2019,131,96,31,-5,43,2:47,0,43,6741,0
876,Steh auf,Lindemann,9/13/2019,75,96,40,-4,49,3:05,0,64,9433,0
877,Hollowed Heart,Make Them Suffer,6/7/2019,90,99,36,-3,35,3:52,0,41,1539,0
878,Heart of the Hurricane,Beyond The Black,6/8/2018,140,83,49,-6,33,3:40,0,28,3392,0
879,7empest,TOOL,8/30/2019,145,80,32,-7,39,15:44,0,68,1065,0
880,No Absolution,Lost Society,6/14/2019,124,94,52,-5,43,4:10,0,52,6527,0
881,SAVAGES,Ice Nine Kills,10/5/2018,131,99,48,-2,41,2:58,0,60,9732,0
882,The Sea of Tragic Beasts,Fit For An Autopsy,8/30/2019,135,94,23,-4,12,4:25,0,27,3759,0
883,Drowning In The Sound,Trivium,5/17/2019,100,97,48,-4,25,3:43,0,59,7570,0
884,Leviathan,Volbeat,5/15/2019,90,86,55,-4,50,4:36,0,59,2614,0
885,Leave It All Behind,Sleeping With Sirens,6/19/2019,97,93,56,-4,31,3:18,0,65,41,0
886,Viva La Victoria,Eclipse,8/23/2019,135,94,54,-6,57,3:12,0,57,6380,0
887,/with_errors,Norma Jean,9/20/2019,175,86,20,-5,9,4:00,0,49,1348,0
888,Fade,Catch Your Breath,5/17/2019,120,87,59,-6,20,3:26,0,50,398,0
889,Counterfeit,Wolves At The Gate,7/12/2019,95,98,47,-4,33,2:53,0,51,6081,0
890,Wouldn’t You Rather,Alter Bridge,6/28/2019,108,97,46,-5,23,3:50,0,28,4151,0
891,The Red Baron,Sabaton,6/12/2019,95,97,40,-6,20,3:22,3,43,9385,0
892,MAYDAY (feat. Ryo from Crystal Lake),coldrain,8/28/2019,121,97,52,-5,49,3:47,0,64,6818,0
893,Protection,Alcest,8/23/2019,146,90,16,-8,17,5:50,0,41,1060,0
894,Burn!,Kobra And The Lotus,9/20/2019,162,86,39,-4,45,2:45,0,42,4480,0
895,Sin on Skin,Those Damn Crows,10/18/2019,153,81,45,-8,40,3:56,0,40,3044,0
896,Trouble Is Your Middle Name,Whitesnake,5/10/2019,158,99,31,-3,14,4:17,0,47,3612,0
897,Outlaws & Outsiders,Cory Marks,11/15/2019,176,87,50,-4,63,3:17,6,62,578,0
898,Only Human,Black Smoke Trigger,11/15/2019,111,88,51,-5,40,4:07,0,34,7665,0
899,MANTRA,Bring Me The Horizon,8/21/2018,90,82,50,-4,62,3:53,0,66,5070,0
900,On To The Next,Tyler Bryant & the Shakedown,6/28/2019,83,98,52,-3,59,2:59,1,47,1988,0
901,Dislocated,The Wildhearts,2/15/2019,101,87,24,-6,33,5:52,0,43,3923,0
902,Dance Macabre,Ghost,6/1/2018,126,70,62,-6,73,3:40,0,64,4852,0
903,Thrash Metal Cassette,Dinosaur Pile-Up,3/25/2019,168,85,47,-6,65,3:40,0,48,12,0
904,Low Life,Crobot,8/23/2019,76,91,55,-5,76,3:37,0,54,7990,0
905,Uncomfortable,Halestorm,5/30/2018,119,98,53,-2,28,3:41,0,49,5167,0
906,ONE OF US,FEVER 333,1/18/2019,91,85,65,-4,45,3:24,0,59,2415,0
907,Do Your Worst,Rival Sons,9/14/2018,84,80,39,-3,40,3:31,1,58,438,0
908,Evil - The Weathermaker Vault Series,Clutch,6/10/2019,96,97,38,-5,30,3:13,0,45,9181,0
909,Driving Rain (feat. Myles Kennedy & The Conspirators),Slash,7/25/2018,108,99,50,-3,42,4:10,0,46,2477,0
910,Billy Balloon Head,Massive Wagons,6/8/2018,127,94,48,-5,59,4:37,0,42,2511,0
911,Black Wedding (feat. Rob Halford),In This Moment,7/21/2017,137,97,54,-4,29,4:07,1,64,3438,0
912,Black Rose,Volbeat,8/5/2016,162,88,49,-4,54,3:58,1,44,7811,0
913,When The Curtain Falls,Greta Van Fleet,7/17/2018,192,98,38,-2,67,3:42,5,10,9919,0
914,One Way Out,Florence Black,7/5/2019,130,75,72,-8,43,3:22,0,45,1391,0
915,No More,Disturbed,10/19/2018,101,99,53,-2,52,3:53,0,62,5131,0
916,Highway,Bleeker,10/21/2016,154,94,46,-5,70,3:22,0,58,2642,0
917,Firewalker,King Zebra,10/17/2018,180,91,41,-5,71,3:06,0,43,6924,0
918,"Lover, Leaver",Greta Van Fleet,9/21/2018,92,92,50,-4,59,3:35,0,9,5678,0
919,DEVIL,Shinedown,3/7/2018,120,94,35,-3,24,3:28,0,8,9785,0
920,Who Do You Trust?,Papa Roach,10/5/2018,102,94,58,-3,37,3:17,5,54,3297,0
921,Bulletproof,Godsmack,4/27/2018,162,92,36,-3,60,2:57,0,60,6140,0
922,Where I Belong,Junkyard Drive,8/31/2018,184,95,36,-4,60,3:40,0,43,6539,0
923,Highway Tune,Greta Van Fleet,11/10/2017,124,96,58,-3,52,3:01,1,6,4007,0
924,Blue On Black,Five Finger Death Punch,5/18/2018,156,84,51,-6,48,4:35,0,59,4250,0
925,Sheena Is a Punk Rocker - 2017 Remaster,Ramones,11/4/1977,176,97,42,-2,85,2:50,10,61,5971,0
926,When Legends Rise,Godsmack,4/13/2018,124,92,44,-4,40,2:53,0,59,1621,0
927,Fix This,Nonpoint,7/20/2018,103,83,54,-5,40,3:50,0,42,1324,0
928,We're Crazy,Danko Jones,9/21/2018,135,90,64,-6,81,3:19,0,43,9480,0
929,Attitude,Guns N' Roses,1/1/1993,188,98,34,-3,61,1:27,0,50,1120,0
930,Girls Got Rhythm,AC/DC,7/27/1979,138,98,51,-4,54,3:23,5,64,3625,0
931,Blood,Breaking Benjamin,4/13/2018,181,98,40,-3,35,3:09,0,1,4164,0
932,Calm Before the Storm,Light The Torch,3/30/2018,163,98,38,-4,31,3:55,0,54,9339,0
933,Blame It on the Boom Boom,Black Stone Cherry,1/1/2011,116,89,57,-3,78,3:09,0,59,4188,0
934,The King Welcomes You to Avatar Country,Avatar,1/12/2018,184,81,33,-6,37,5:36,0,46,6727,0
935,Prey,Parkway Drive,5/4/2018,100,96,27,-5,33,4:15,0,65,9923,0
936,Fortunate Son,The Dead Daisies,7/26/2019,142,86,31,-5,32,3:24,0,51,6651,0
937,Shadowlands,Mos Generator,4/23/2018,144,97,38,-6,68,4:35,0,39,8435,0
938,I Was Made For Lovin' You,KISS,3/23/1979,128,85,77,-6,87,4:31,21,79,3617,0
939,Oh No,Goodbye June,5/15/2017,133,98,26,-4,28,3:41,0,58,360,0
940,Rock You Like a Hurricane - 2015 - Remaster,Scorpions,3/27/1984,125,87,40,-3,68,4:14,0,65,9200,0
941,Animal,Shining,8/10/2018,158,99,41,-2,26,3:33,0,52,9882,0
942,Where the Wind Blows,Blacktop Mojo,3/10/2017,147,90,51,-3,66,4:25,0,53,1753,0
943,Panama - 2015 Remaster,Van Halen,1/4/1984,141,98,53,-5,46,3:30,0,75,257,0
944,Room Of Nightmares,Black Label Society,1/18/2018,97,98,42,-5,13,2:32,0,1,8706,0
945,That's My Jam,Skindred,4/27/2018,104,93,59,-5,55,3:16,0,41,4161,0
946,We Die Young,Alice In Chains,8/1/1990,126,94,47,-8,35,2:31,0,55,3294,0
947,It's So Easy,Guns N' Roses,7/29/1987,151,99,39,-6,22,3:23,2,44,1503,0
948,Dirty Little Thing,Velvet Revolver,6/26/1905,168,99,27,-4,28,3:57,0,49,6023,0
949,Blitzkrieg Bop - 2016 Remaster,Ramones,4/23/1976,177,78,39,-3,90,2:14,0,72,3213,0
950,Ramones,Motörhead,2/26/1991,118,96,39,-6,67,1:25,14,44,5145,0
951,Rag Doll,Aerosmith,1/1/1987,93,95,58,-4,58,4:26,58,61,5208,0
952,Sham Pain,Five Finger Death Punch,5/18/2018,97,94,55,-5,40,3:30,0,65,9365,0
953,Riding on the Wind,Judas Priest,6/4/1905,179,94,23,-5,51,3:10,2,45,1361,0
954,Givin the Dog a Bone,AC/DC,7/25/1980,133,98,53,-4,74,3:32,7,54,8213,0
955,Dangerous,Shaman's Harvest,9/12/2014,101,80,51,-4,25,4:03,0,50,8710,0
956,Bitter Harvest,Black Swamp Water,7/27/2018,150,89,44,-5,51,6:00,0,3,4839,0
957,Eat The Rich,Aerosmith,1/1/1993,123,93,57,-5,70,4:10,1,54,6776,0
958,Wild Side,Mötley Crüe,6/9/1905,115,90,60,-5,46,4:42,1,66,2420,0
959,Cum on Feel the Noize,Quiet Riot,6/5/1905,145,92,41,-5,37,4:51,1,70,4175,0
960,God Save The Queen,Sex Pistols,10/27/1977,147,90,30,-8,54,3:19,0,63,4235,0
961,Killed by Death,Motörhead,9/15/1984,135,95,38,-5,27,4:38,0,60,6419,0
962,Long Live Rock N Roll,Rainbow,5/31/1905,142,92,35,-8,43,4:22,0,55,2141,0
963,Let Them Grind,Big Business,2/1/2019,159,98,18,-5,7,4:49,0,29,3584,0
964,Times Missing,Torche,6/4/2019,151,54,12,-5,24,5:05,0,30,1109,0
965,Gold,All The Saints,6/17/2019,124,85,29,-8,25,5:12,0,29,3621,0
966,Weightless Light,Woodhawk,9/20/2019,140,89,40,-5,46,3:38,0,23,1490,0
967,Waste People,Solace,12/13/2019,101,95,18,-4,22,5:01,0,18,5275,0
968,1X1,All Them Witches,11/1/2019,142,78,29,-7,11,5:12,0,48,1757,0
969,Astonishing Comet,Earth Tongue,6/14/2019,157,56,50,-7,73,3:06,18,26,1976,0
970,Grasping Time - Single Version,Vokonis,2/1/2019,143,82,20,-8,41,4:21,0,35,9415,0
971,Throw Me an Anchor,Baroness,6/14/2019,120,99,45,-3,9,4:01,0,38,7668,0
972,Messiah,Nebula,6/7/2019,168,90,22,-8,41,4:28,0,30,9593,0
973,12 Years in the Tomb,Saint Vitus,2/28/2019,132,97,23,-6,31,5:24,0,25,5772,0
974,Sister,Volga,7/5/2019,85,66,56,-8,27,2:18,10,31,564,0
975,The Living Tide,Solar Halos,4/12/2019,114,88,35,-8,51,6:07,1,25,3436,0
976,Sleep,Stonefield,6/14/2019,128,64,23,-5,25,4:09,0,26,4350,0
977,Kreuzung,Mammoth Mammoth,9/19/2019,132,50,44,-14,27,3:55,0,9,6992,0
978,Kill Us All,Lugnet,12/7/2018,129,84,30,-7,13,7:41,21,0,6675,0
979,Shifting Winds,Lightning Born,6/21/2019,126,75,53,-6,38,4:35,4,29,1406,0
980,Beneath,Tuskar,12/7/2018,150,98,14,-5,5,4:45,0,37,7112,0
981,"Bosses Hang, Pt. I",Godspeed You! Black Emperor,9/22/2017,74,45,10,-11,4,4:40,42,46,1075,0
982,Who Do You Love,Dorothy,3/9/2018,122,85,22,-4,39,4:14,4,41,7698,0
983,The Last Leaf,Monolord,8/20/2019,130,66,38,-10,37,5:15,0,38,985,0
984,Transformation,Parasol Caravan,10/25/2019,137,50,55,-9,14,5:08,3,18,683,0
985,Generation 71,Thulsa Doom,3/10/2003,125,82,40,-8,46,4:47,0,0,4776,0
986,Hark at You,Trippy Wicked & The Cosmic Children Of The Knight,5/8/2019,96,88,31,-4,50,4:43,0,26,9266,0
987,Old Gods,Valley of the Sun,5/24/2019,180,66,43,-8,4,6:01,0,19,6527,0
988,The Bastard Son,Monolord,7/23/2019,108,57,41,-11,22,9:26,0,33,3035,0
989,Nemesis,Parasol Caravan,10/25/2019,86,77,19,-7,9,3:18,2,18,2287,0
990,Collector,Mars Red Sky,6/14/2019,108,53,38,-13,24,4:14,0,32,6853,0
991,Burning Planet,Lord Vapour,12/1/2018,99,57,34,-6,61,5:50,0,31,1736,0
992,Svart,Abramis Brama,6/23/1905,139,81,25,-5,38,4:43,0,0,5712,0
993,Let the Devil In,Green Lung,1/29/2019,142,79,36,-6,39,5:00,0,31,3515,0
994,My Everything,John Garcia,12/19/2018,133,88,41,-5,37,3:36,0,11,2885,0
995,Blood Leaves a Trail,Somali Yacht Club,1/22/2018,132,64,40,-7,30,6:19,0,35,7624,0
996,The Willow,Doctor Smoke,11/28/2014,77,92,15,-8,45,3:41,0,36,2819,0
997,Chocolatize,Brant Bjork,9/14/2018,103,91,36,-8,68,2:35,4,24,1852,0
998,Om Generator,Motorowl,8/26/2016,139,92,30,-6,36,6:21,0,19,1566,0
999,High to Hell,Black Rainbows,4/6/2018,102,95,17,-5,40,4:42,0,13,3752,0
1000,Tranquil Mountain Lake,Snowy Dunes,2/23/2016,108,56,20,-8,19,7:21,3,34,6520,0
1001,Olde One,Vokonis,5/31/2016,113,68,24,-7,33,8:09,0,32,2476,0
1002,Febersvan,Gaupa,6/2/2018,130,63,31,-7,8,7:28,0,40,9259,0
1003,Kristallen Den Fina,Harvester,5/23/1905,157,84,31,-11,36,6:28,2,1,7907,0
1004,Desert Cold,Snowy Dunes,6/5/2014,132,64,29,-9,41,6:13,6,37,577,0
1005,Justify,Samavayo,9/29/2017,156,83,21,-6,36,4:02,0,33,25,0
1006,Absolutego,Boris,7/14/2017,156,90,16,-3,7,4:56,0,31,3776,0
1007,Sleep Of The Black Lotus,Wo Fat,11/13/2012,126,87,19,-8,10,10:14,0,26,9407,0
1008,"Strange Gods, Strange Altars",Sheavy,3/30/2015,169,84,23,-10,43,6:39,0,30,6562,0
1009,Jim Beam and Good Green,The Glasspack,3/12/2002,133,60,24,-7,4,7:56,0,24,7171,0
1010,Up in the Sky,Somali Yacht Club,9/16/2014,95,55,20,-7,16,8:12,0,42,7917,0
1011,Hate To Feel,Alice In Chains,1/1/1992,139,91,29,-5,11,5:16,12,47,7545,0
1012,Die of Thirst,Gorilla Pulp,7/8/1905,131,54,36,-7,4,2:23,0,32,7784,0
1013,Jim's Whiskers,John Garcia,11/30/2018,116,87,34,-6,59,3:42,2,22,1380,0
1014,Centurion,King Buffalo,1/5/2018,127,80,39,-9,16,5:57,1,44,4660,0
1015,The Great American Death Rattle,Youngblood Supercult,8/17/2017,126,56,30,-10,35,4:05,8,41,4044,0
1016,Acid Roulette,Scorpion Child,6/10/2016,134,94,19,-4,42,5:49,0,1,3665,0
1017,He Dreams of Lions,The Heavy Eyes,11/13/2015,92,88,28,-7,29,4:39,1,40,6021,0
1018,Lonely Lyle,Big Business,6/23/2014,85,67,15,-7,4,9:19,3,37,1808,0
1019,El Monstro,Skraeckoedlan,6/10/2015,180,93,31,-5,23,6:33,0,36,1098,0
1020,Master Of The Sky,Moon Coven,10/2/2014,110,76,38,-5,50,5:35,0,0,133,0
1021,Deadly Nightshade,The Sword,3/23/2018,87,89,52,-5,54,3:01,1,0,5613,0
1022,Marijuanaut's Theme,Sleep,4/20/2018,137,88,21,-7,32,6:40,2,2,5911,0
1023,Intelligent Worship,Fu Manchu,2/9/2018,146,90,38,-6,55,3:07,0,40,7104,0
1024,Black Lilly,Colour Haze,3/24/2017,75,62,28,-10,38,6:48,48,38,6115,0
1025,Diablerie,Windhand,9/5/2018,81,77,31,-9,42,5:21,0,39,3424,0
1026,Devil At Your Heels,Plainride,2/10/2017,140,83,48,-7,39,6:30,0,37,1170,0
1027,Echoes,Elephant Tree,4/22/2016,127,60,42,-7,25,6:08,3,46,3513,0
1028,(If You Want the Smoke) Be the Fire,MaidaVale,8/5/2016,168,69,25,-8,52,5:18,0,35,420,0
1029,The Seeker,Doctor Smoke,11/28/2014,160,80,33,-8,53,5:01,0,39,6966,0
1030,Lust Queen,Red Desert,8/3/2012,115,74,34,-7,38,5:13,0,39,2699,0
1031,Aphrodite,Nebula,7/7/2009,128,94,18,-4,37,4:10,0,26,9746,0
1032,Parsonz Curse,Royal Thunder,5/22/2012,157,81,17,-7,29,6:58,0,38,647,0
1033,Desert God,Sleepy Sun,5/17/2010,132,52,31,-9,17,5:17,3,38,6361,0
1034,Elevated Man,Goatsnake,6/2/2015,96,92,26,-4,31,4:37,1,33,722,0
1035,Heavy/Like a Witch,All Them Witches,12/7/2012,153,90,32,-7,26,5:48,0,49,5006,0
1036,Great American Scumbag,Halfway to Gone,4/16/2002,122,89,25,-3,51,3:16,0,18,3498,0
1037,Half Full Glass Of Wine,Tame Impala,7/2/1905,126,77,68,-7,64,4:26,26,2,8352,0
1038,Gimme the Keys,Clutch,9/7/2018,112,76,34,-8,53,3:33,0,40,2557,0
1039,Moonage Daydream,Zen Guerrilla,9/7/1999,156,98,16,-4,31,5:02,0,30,2627,0
1040,Cactus,Skraeckoedlan,10/10/2011,180,89,20,-6,51,5:49,0,1,92,0
1041,Evaporate,35007,5/27/2002,147,50,23,-10,8,5:53,8,0,5352,0
1042,Gemini,Elder,9/6/2011,126,88,18,-6,22,9:40,0,47,5913,0
1043,Sweet Wine,Sideburn,1/1/2007,98,77,49,-7,53,5:01,2,29,4626,0
1044,Draggin' The River,Gideon Smith and the Dixie Damned,11/2/2001,130,94,36,-4,18,3:45,0,19,7695,0
1045,Time Warrior,Horisont,11/5/2012,167,88,22,-5,46,4:47,0,23,8758,0
1046,Please Don't,Graveyard,4/6/2018,110,87,32,-5,55,4:13,0,2,1597,0
1047,Ages Move the Earth,High Priest of Saturn,2/26/2016,89,43,19,-12,35,9:10,1,43,8972,0
1048,Bedouin's Vigil,OM,6/28/1905,106,55,30,-17,15,4:28,0,29,2251,0
1049,Older No Wiser,Red Desert,8/3/2012,136,84,26,-7,34,5:37,0,44,4798,0
1050,Perfect Man,Buffalo Fuzz,9/12/2016,129,58,46,-10,19,5:25,1,41,9407,0
1051,Despair,Downswing,12/9/2019,105,98,45,-4,12,3:42,0,33,1074,0
1052,Let It Burn,Written by Wolves,11/8/2019,160,85,47,-7,21,3:56,0,49,5133,0
1053,Unseen,Our Mirage,12/13/2019,146,97,48,-5,52,3:31,0,30,131,0
1054,Blow Me,The Used,12/6/2019,90,95,39,-3,42,3:21,0,56,1064,0
1055,Summiteer,Watch Out Stampede,12/13/2019,168,96,40,-7,45,3:11,0,32,4463,0
1056,BURNING YOUR WORLD DOWN,The Word Alive,11/1/2019,180,96,38,-3,36,3:27,0,53,8234,0
1057,Lost ?,October Ends,12/13/2019,90,96,36,-4,31,3:34,0,42,5681,0
1058,What Man Has Made,Acacia Ridge,12/6/2019,95,95,54,-5,50,4:20,0,42,9722,0
1059,All That You Lost,Like Moths To Flames,9/17/2019,125,96,48,-3,21,3:34,0,49,5784,0
1060,Floating Anchor,Deep as Ocean,12/13/2019,160,99,46,-5,19,4:06,0,25,4563,0
1061,Fake,RedHook,11/29/2019,120,96,61,-3,80,3:01,0,47,3023,0
1062,Rehab,Eskimo Callboy,11/1/2019,75,95,48,-5,70,3:16,0,53,4263,0
1063,Drowning,Lost in Separation,12/13/2019,140,98,53,-4,42,3:37,0,29,8267,0
1064,Playing the Victim,Blood Youth,11/25/2019,195,98,34,-5,29,3:47,0,49,7486,0
1065,Already Dead,Hollywood Undead,10/25/2019,160,96,36,-4,30,3:57,0,63,6588,0
1066,The Upside Down - Low Gain Mix,Eyes Wide Open,12/13/2019,130,59,50,-9,39,3:34,71,26,5131,0
1067,Stay Alive,TIMELESS,11/8/2019,165,96,43,-5,56,3:31,0,42,7915,0
1068,Somebody Else,Novelists FR,11/8/2019,100,86,41,-5,36,4:47,0,35,7320,0
1069,Throne of Thorns,Elyne,11/29/2019,155,98,39,-2,38,3:18,0,43,4844,0
1070,Breathe You In,Softspoken,11/26/2019,130,67,43,-7,12,3:37,1,41,4591,0
1071,Cloud Cascade,"Invent, Animate",11/8/2019,116,96,49,-4,22,4:09,0,50,9242,0
1072,Abaddon,Advocates,11/15/2019,125,99,50,-3,18,3:13,0,43,3015,0
1073,Dear Astronomer,Valiant Hearts,11/15/2019,125,93,42,-2,21,4:30,2,45,757,0
1074,Pavement,Veridian,11/22/2019,128,85,49,-4,31,3:33,0,39,18,0
1075,Sugarcoated Psychosis,Deadlights,11/13/2019,120,99,53,-3,15,3:53,0,42,6568,0
1076,Burial Plot,Dayseeker,9/6/2019,93,87,43,-4,22,3:58,4,48,3459,0
1077,Serenity,Syora,11/22/2019,98,84,48,-10,25,4:02,0,44,7889,0
1078,Empty Eyes,A Long Way To Fall,11/13/2019,100,97,48,-3,9,3:59,0,42,7485,0
1079,Dead End,Alazka,10/4/2019,120,97,44,-5,13,4:14,0,38,8691,0
1080,Stare,LIMBS,11/6/2019,197,98,30,-3,10,2:52,0,41,3059,0
1081,Chemical,The Devil Wears Prada,9/27/2019,75,79,53,-7,21,3:50,0,51,4636,0
1082,Exile,Elwood Stray,10/11/2019,115,97,47,-4,20,4:14,0,43,8139,0
1083,Serenity,The Uncharted,10/18/2019,79,96,10,-4,24,4:44,0,42,3033,0
1084,Uni,Atlas,11/15/2019,160,94,46,-5,28,3:38,0,44,4212,0
1085,The Entire History of You,Stepson,11/15/2019,170,99,45,-3,17,5:10,0,33,1664,0
1086,Where We Go When We Die,Thornhill,10/3/2019,170,92,17,-8,26,4:58,0,46,1258,0
1087,Disassociate,Thousand Below,8/30/2019,187,98,42,-4,43,3:11,0,45,2789,0
1088,Life for Me,Palmist,11/15/2019,125,85,56,-6,36,3:28,0,39,3402,0
1089,You're Distant,Fake Figures,10/18/2019,186,81,35,-8,37,4:04,0,40,5766,0
1090,One Man Army,SHVPES,9/22/2019,108,87,60,-5,35,3:19,0,47,8755,0
1091,Change (feat. Daigo Jax),Thousand Thoughts,10/25/2019,110,91,62,-3,43,3:53,0,35,870,0
1092,Separate Wounds,Counterparts,9/24/2019,150,96,47,-5,8,3:24,3,43,6481,0
1093,Waste,Glass Tides,10/11/2019,95,94,48,-5,30,2:45,0,40,2571,0
1094,That's What You Do (feat. Jesper Gün),Ivy Crown,10/11/2019,115,91,61,-4,35,3:45,0,38,7945,0
1095,Masochistic Healing,Tethra,9/13/2019,131,98,45,-4,15,4:49,0,44,5501,0
1096,Last Fragments,Rising Insane,10/11/2019,160,97,35,-4,30,3:53,0,39,5506,0
1097,All My Friends Are Dead,The Amity Affliction,9/6/2019,105,95,32,-5,15,3:48,0,46,7664,0
1098,Members Only,Veil Of Maya,9/13/2019,110,99,54,-2,47,3:57,0,53,688,0
1099,Actions Not Words,Stray From The Path,9/25/2019,92,97,26,-3,19,3:52,0,45,9330,0
1100,SLEEP,Gideon,9/25/2019,100,99,61,-4,22,3:24,1,39,3818,0
1101,Lost,Rare Words,9/2/2019,175,98,34,-2,20,4:08,0,38,3122,0
1102,Mirrors,Suspyria,10/3/2019,196,100,17,-2,4,4:24,0,39,6193,0
1103,Writing on the Walls,Speaking With Ghosts,8/23/2019,90,99,49,-3,10,3:31,0,41,8051,0
1104,Saviour,Thousand Thoughts,9/27/2019,185,87,39,-6,48,3:51,0,33,7352,0
1105,Time Won't Wait,DEADTHRONE,6/21/2019,128,90,45,-5,40,4:35,0,19,3050,0
1106,Eye of God,Erra,8/8/2019,120,98,48,-3,31,3:32,0,55,7107,0
1107,Balaclava,The Oklahoma Kid,9/13/2019,155,98,48,-6,29,3:27,0,28,9325,0
1108,Far Away,Awake the Dreamer,9/6/2019,88,91,23,-6,26,3:03,0,26,7793,0
1109,Drink About It,Issues,8/12/2019,140,91,56,-4,55,3:29,3,51,6373,0
1110,Slow Death by Fluorescent Lighting,Empty,7/9/2019,165,95,32,-4,30,3:34,2,37,4171,0
1111,Don't Wait for Me,TheCityIsOurs,7/19/2019,150,89,44,-4,37,3:22,0,39,5351,0
1112,Drifter,Wolves At The Gate,6/14/2019,94,99,47,-4,33,4:00,0,40,1574,0
1113,Savior,Hollow City,7/19/2019,108,92,57,-6,84,3:08,0,38,9555,0
1114,MZRY,Crown The Empire,6/19/2019,171,89,41,-6,34,4:05,0,46,9653,0
1115,Burn It Down,Silverstein,6/27/2019,164,97,48,-4,56,3:10,0,60,1936,0
1116,Loneliness,Underoath,7/12/2019,177,94,36,-4,45,3:40,0,45,8827,0
1117,Broken Glass,Famous Last Words,5/17/2019,92,99,50,-2,39,3:22,0,42,3433,0
1118,The Old Me,Memphis May Fire,9/21/2018,87,99,43,-4,51,3:10,0,52,2713,0
1119,COEXIST,coldrain,7/5/2019,138,97,51,-4,37,3:42,0,41,8900,0
1120,Tapping Out,Issues,5/3/2019,196,97,45,-5,37,3:38,2,54,6261,0
1121,Culture of Lies,Heart Of A Coward,6/7/2019,105,99,44,-3,11,3:34,0,31,762,0
1122,The Hierophant,Of Allies,5/31/2019,90,59,53,-8,25,3:30,1,39,8021,0
1123,Not Dead Yet,Righteous Vendetta,5/31/2019,105,96,60,-4,31,3:24,0,43,4399,0
1124,Damien,Mirrors,5/10/2019,112,98,45,-3,8,4:19,1,42,6465,0
1125,Coma Blue,Annisokay,7/20/2018,114,99,22,-5,12,3:23,0,36,6522,0
1126,Sleepwalkers,Aphyxion,3/15/2019,130,92,47,-7,23,3:46,0,38,7675,0
1127,Walking Alone,Desasterkids,4/16/2019,75,97,38,-4,37,3:18,0,36,6621,0
1128,Everyone Else,Breathe Atlantis,1/25/2019,140,97,41,-4,37,3:29,0,39,921,0
1129,Question Everything,Dreamshade,1/15/2019,155,97,45,-5,57,3:22,0,42,4890,0
1130,Deathwish,Samsara,4/8/2019,100,95,57,-4,21,3:44,0,40,6031,0
1131,Poverty of Self,Currents,11/29/2019,115,95,49,-6,15,3:26,0,40,5248,0
1132,Risset,Kryn,11/30/2019,155,94,38,-4,24,4:50,0,34,2391,0
1133,Against All Odds,Prospective,12/6/2019,162,98,44,-4,28,3:02,0,33,1073,0
1134,Alone,Oni,10/1/2019,118,95,59,-5,32,5:48,2,43,319,0
1135,Judgement (& Punishment),Jinjer,8/23/2019,195,96,41,-4,40,4:20,0,25,8835,0
1136,Hero,Uneven Structure,10/18/2019,150,91,35,-8,30,4:42,0,38,6561,0
1137,NO LOVE,Volumes,4/24/2019,110,99,54,-5,42,3:17,0,43,7270,0
1138,The Rat & The Snake,Ghost Iris,2/22/2019,160,95,39,-5,37,4:07,0,41,1500,0
1139,Avatar,Unprocessed,8/9/2019,106,96,50,-6,14,5:46,0,40,5111,0
1140,Melatonin,Sleep Waker,11/1/2019,175,97,41,-3,25,3:28,0,41,4951,0
1141,Innocent,Uneven Structure,7/26/2019,106,69,52,-10,33,5:40,0,36,4944,0
1142,Elevation (feat. White Dove),Valis Ablaze,7/19/2019,170,98,19,-4,27,5:28,0,34,360,0
1143,Para,Rogue,2/1/2019,123,99,39,-5,6,3:49,0,34,8556,0
1144,Prototype,Unprocessed,7/12/2019,133,94,57,-7,7,3:59,0,32,31,0
1145,All We Have,Prospective,11/8/2019,145,98,45,-4,36,3:02,0,36,6002,0
1146,Vibrant,"Time, The Valuator",6/7/2019,122,93,26,-6,34,4:20,0,44,9949,0
